0,1130,0,0.0
5,1109,174,2
35,1095,294,3
173,1092,846,11
187,1076,902,12
191,1069,918,12
199,1050,950,12
459,1045,1990,26
700,1043,2954,39
735,1022,3094,41
937,1001,3902,52
1295,986,5334,71
1721,983,7038,93
1827,982,7462,99
1845,979,7534,100
2018,976,8226,109
2170,971,8834,117
2314,966,9410,124
2514,962,10210,135
2686,960,10898,144
2887,956,11702,151
3149,955,12750,164
3623,954,14646,189
3862,944,15602,201
9343,942,37526,428
34793,941,139326,1337
123229,940,493070,4495
125641,935,502718,4619
129235,929,517094,4805
157692,929,630918,5862
